date,equity,equity_normalized,equity_change_pct
2022-11-25,92906.02738,92.90602738,-7.09397262
2022-11-28,91450.36058000001,91.45036058000001,-8.549639419999988
2022-11-29,91891.14067000001,91.89114067,-8.108859329999996
2022-11-30,93689.23924,93.68923924,-6.310760760000001
2022-12-01,93440.51001,93.44051001,-6.55948999
2022-12-02,93564.48109,93.56448109,-6.435518910000004
2022-12-05,91741.43795,91.74143795,-8.258562049999995
2022-12-06,90739.22044,90.73922044,-9.26077956
2022-12-07,90644.17581,90.64417581000001,-9.355824189999995
2022-12-08,91033.31438,91.03331438,-8.966685620000003
2022-12-09,90516.66924,90.51666924,-9.483330759999998
2022-12-12,91449.90916,91.44990916,-8.550090840000003
2022-12-13,91655.3195,91.6553195,-8.3446805
2022-12-14,91062.50541,91.06250541,-8.937494590000005
2022-12-15,89533.58843,89.53358843,-10.46641157
2022-12-16,88487.82078,88.48782077999999,-11.512179220000007
2022-12-19,87730.07693,87.73007693,-12.269923069999999
2022-12-20,88061.29197,88.06129197000001,-11.93870802999999
2022-12-21,89356.40847,89.35640846999999,-10.643591530000007
2022-12-22,88374.4368,88.3744368,-11.6255632
2022-12-23,89413.62092,89.41362092,-10.586379079999997
2022-12-27,89572.694,89.57269400000001,-10.42730599999999
2022-12-28,88097.44562,88.09744562,-11.902554379999996
2022-12-29,89265.09359,89.26509359,-10.73490641
2022-12-30,88899.52934,88.89952934,-11.100470660000006
2023-01-03,88008.38341,88.00838341,-11.99161659000001
2023-01-04,88802.06192000001,88.80206192000001,-11.197938079999991
2023-01-05,87565.5212,87.5655212,-12.434478799999994
2023-01-06,89567.75267,89.56775267,-10.43224733
2023-01-09,89665.08364,89.66508363999999,-10.334916360000001
2023-01-10,90055.45297,90.05545296999999,-9.944547030000006
2023-01-11,91418.10007,91.41810007,-8.581899930000002
2023-01-12,92031.87698,92.03187698,-7.968123019999995
2023-01-13,92263.44812,92.26344812,-7.736551879999998
2023-01-16,92307.25812,92.30725812,-7.692741879999998
2023-01-17,92369.00989,92.36900989,-7.630990110000003
2023-01-18,91066.13086,91.06613086,-8.933869139999995
2023-01-19,90743.45733,90.74345733000001,-9.25654266999999
2023-01-20,91750.18074,91.75018074,-8.249819260000002
2023-01-23,92570.58511,92.57058511,-7.429414889999997
2023-01-24,92542.80267,92.54280267,-7.457197329999998
2023-01-25,92704.39049,92.70439049000001,-7.29560950999999
2023-01-26,93152.48956,93.15248956,-6.8475104399999935
2023-01-27,93011.51797,93.01151797,-6.988482029999998
2023-01-30,92001.09562000001,92.00109562,-7.998904379999994
2023-01-31,93600.13198,93.60013198,-6.3998680199999995
2023-02-01,94220.32757,94.22032757,-5.779672430000005
2023-02-02,94843.73628,94.84373628,-5.156263719999998
2023-02-03,94345.04286,94.34504286,-5.654957139999994
2023-02-06,93813.83636,93.81383636,-6.1861636399999975
2023-02-07,94678.91973,94.67891973,-5.32108027
2023-02-08,93777.6929,93.7776929,-6.222307100000002
2023-02-09,93072.71187,93.07271187,-6.927288129999997
2023-02-10,93807.61517,93.80761517,-6.192384829999997
2023-02-13,94422.09489000001,94.42209489000001,-5.577905109999993
2023-02-14,94066.54182,94.06654182,-5.933458180000006
2023-02-15,94298.62343,94.29862343,-5.701376569999994
2023-02-16,94130.15864,94.13015863999999,-5.869841360000006
2023-02-17,94230.96045,94.23096045,-5.769039549999999
2023-02-20,94247.74045,94.24774045,-5.752259550000005
2023-02-21,92436.0008,92.4360008,-7.563999200000005
2023-02-22,92190.87477,92.19087477,-7.809125230000003
2023-02-23,93017.22785,93.01722785,-6.982772150000005
2023-02-24,92827.63694,92.82763693999999,-7.172363060000009
